#{"t_start": 1697768966.4663482, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
260.0,3065,2.299524
110.0,2235,3.402085
440.0,3241,5.033385
410.0,2531,6.305136
110.0,1943,7.275351
395.0,2451,8.520163
15.0,1169,9.110528
70.0,1763,10.051179
85.0,1409,10.786473
180.0,2309,11.944859
40.0,1753,12.835115
135.0,1909,13.787971
30.0,1125,14.352587
85.0,1659,15.203307
230.0,2223,16.320295
45.0,1527,17.081273
180.0,2319,18.25595
65.0,1169,18.867078
115.0,1963,19.922574
155.0,1965,20.920895
165.0,2221,22.067562
80.0,1941,23.094735
135.0,1279,23.743967
140.0,2191,24.870589
180.0,2147,25.960038
30.0,1129,26.524966
120.0,1795,27.406102
180.0,2009,28.413616
105.0,1607,29.237563
80.0,1377,29.945086
180.0,1937,30.957508
110.0,1951,31.952033
40.0,1615,32.774168
125.0,2193,33.906322
260.0,2483,35.178982
65.0,1175,35.798826
90.0,1829,36.760479
405.0,2531,38.061231
155.0,1479,38.89992
120.0,1987,39.89504
105.0,2231,41.05217
135.0,2171,42.16947
120.0,1897,43.135254
50.0,1493,43.932389
210.0,2651,45.255862
230.0,2741,46.631066
55.0,1609,47.426339
120.0,1861,48.344249
270.0,3629,50.258796
200.0,2161,51.312584
65.0,1505,52.074847
150.0,2007,58.934995
150.0,2837,60.388601
355.0,3845,62.328725
165.0,1939,63.331605
225.0,2915,64.844354
30.0,1221,65.466734
170.0,2285,66.625801
90.0,1377,67.337123
110.0,1879,68.317437
255.0,2599,69.639271
225.0,2687,71.093137
140.0,2345,72.287078
80.0,1955,73.298113
120.0,1659,74.144645
135.0,1833,75.105501
280.0,3679,76.991652
60.0,1145,77.574887
135.0,1551,78.391213
75.0,1543,79.18937
55.0,1165,79.793801
50.0,1223,80.414724
135.0,1781,81.310331
80.0,1637,82.131679
80.0,1557,82.926631
405.0,3917,84.887352
80.0,1361,85.596667
100.0,1961,86.597386
135.0,2257,87.729367
350.0,3963,89.805409
200.0,3007,91.324371
390.0,2817,92.753965
210.0,1937,93.761526
135.0,2167,94.840235
65.0,1749,95.730648
395.0,3729,97.674427
180.0,2043,98.734093
135.0,2279,99.891376
140.0,2157,100.982921
90.0,1747,101.925262
80.0,1869,102.876274
260.0,3089,104.44203
65.0,1747,105.33676
90.0,1325,106.013803
135.0,1623,106.917389
65.0,1293,107.588367
130.0,1515,108.371038
105.0,1455,109.134681
55.0,1463,109.90291
175.0,1605,110.727292
210.0,3387,117.463743
155.0,1947,118.44372
335.0,3238,120.089741
185.0,2899,121.559249
335.0,3089,123.11323
45.0,1659,123.943386
80.0,1887,124.904153
50.0,1857,125.878963
120.0,2459,127.09893
135.0,1793,128.044723
65.0,1839,128.974011
225.0,2779,130.405763
35.0,1343,131.101985
185.0,1859,132.040285
380.0,2809,133.500268
15.0,1593,134.316367
185.0,1991,135.338444
165.0,2085,136.422441
125.0,2437,137.670069
170.0,2415,138.936408
65.0,2411,140.166621
260.0,3495,141.97364
380.0,2961,143.601293
80.0,1505,144.373709
60.0,2077,145.441799
80.0,2107,146.591917
260.0,2569,147.922526
175.0,2245,149.090725
210.0,3095,150.635684
120.0,2299,151.844857
105.0,1931,152.848233
90.0,1379,153.547785
105.0,2085,154.641758
110.0,1357,155.352309
135.0,2013,156.529312
255.0,2755,157.988387
125.0,1911,158.983042
235.0,2787,160.419496
410.0,3741,162.43346
135.0,2015,163.486631
65.0,1153,164.088022
155.0,2409,165.34915
110.0,2101,166.474053
120.0,2507,167.791523
65.0,1305,168.464152
115.0,1941,169.486062
105.0,2137,176.420718
85.0,1645,177.272736
125.0,2101,178.36725
100.0,1155,178.970081
210.0,2951,180.607055
45.0,1499,181.381634
65.0,1917,182.388727
60.0,1565,183.228367
410.0,2625,184.591338
60.0,1533,185.373324
120.0,1899,186.347968
120.0,1179,186.958291
85.0,1133,187.539597
425.0,2965,189.080727
85.0,1831,190.018748
125.0,1869,190.996435
50.0,1873,191.956861
65.0,1041,192.488289
440.0,2559,193.809183
165.0,2249,195.002371
105.0,1917,195.997685
210.0,3113,197.586949
75.0,1577,198.42596
410.0,2355,199.632956
125.0,2175,200.736067
105.0,1911,201.751037
75.0,1827,202.703953
105.0,1589,203.570629
190.0,2487,204.879679
90.0,1483,205.6323
55.0,1505,206.415547
120.0,2205,207.551149
260.0,2505,208.86383
135.0,2119,209.971024
210.0,3081,211.59344
75.0,1579,212.41776
90.0,1519,213.230512
100.0,1855,214.216955
240.0,2525,215.560882
180.0,3397,217.378842
135.0,1991,218.403155
140.0,1811,219.311921
80.0,1589,220.143186
135.0,2267,221.298815
225.0,2787,222.784126
75.0,1629,223.630318
105.0,2019,224.695337
155.0,2081,225.795708
80.0,1627,226.636737
490.0,2919,228.170171
135.0,1731,237.314042
125.0,1699,243.274936
215.0,2669,252.74778
40.0,989,256.039588
120.0,1763,262.34354
55.0,1801,268.573052
200.0,2855,280.365363
65.0,1467,285.715305
230.0,2471,294.611608
110.0,2069,302.371519
160.0,1973,309.586998
80.0,1643,315.77086
225.0,2701,325.849834
75.0,1175,330.258854
185.0,2313,340.19867
45.0,1717,346.615138
25.0,1751,353.05594
100.0,1983,360.524079
165.0,1995,367.989878
80.0,1549,373.731982
215.0,2325,382.476635
105.0,1899,389.585721
185.0,2133,398.480351
170.0,2885,409.739499
35.0,1159,414.237494
165.0,3003,426.040037
105.0,1461,431.692676
